filename,extension,mime_type,related_to_sdaia_quebook,quebook_question_id,classification,title,document_number,keywords,bytes
0014_related_q007_Counter-Terrorism_Threat_Digest.eml,eml,message/rfc822,True,7,Top Secret,Counter-Terrorism Threat Digest,FCT-2026-41EB39,VBIED; hostage; extremist; attack plan; terrorist; terrorism; Al-Qaeda; violent extremism,2782
0015_unrelated_q108_Procurement_Stationery_Order.pdf,pdf,application/pdf,False,,Internal,Procurement Stationery Order,FCT-2026-A8E3B4,whiteboard markers; notebooks; sticky notes; toner cartridge,4088
0016_unrelated_q107_Sports_Club_Training_Roster.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,False,,Public,Sports Club Training Roster,FCT-2026-433D5C,injury recovery; football drills; attendance sheet; coach notes,30228
0017_related_q005_Critical_Infrastructure_Resilience_Bulle.html,html,text/html,True,5,Top Secret,Critical Infrastructure Resilience Bulletin,FCT-2026-FC462D,critical infrastructure; oil production; power grid; water treatment; SCADA; gas plant; airport shutdown; blackout,3095
0018_related_q014_Strategic_Warehouse_and_Logistics_Reserv.rtf,rtf,application/rtf,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-296683,fuel depot; logistics center; supply depot; storage facility; warehouse; emergency stockpile; strategic reserve; inventory reserve,2279
0019_unrelated_q104_Facilities_Maintenance_Schedule.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,False,,Internal,Facilities Maintenance Schedule,FCT-2026-6B67E2,lighting upgrade; parking lot paint; HVAC filter; elevator inspection,6846
0020_related_q010_Strategic_Resource_Outlook.xml,xml,text/xml,True,10,Secret,Strategic Resource Outlook,FCT-2026-3283EF,oil reserve; mining; Brent; resource depletion; OPEC; petroleum exports; crude oil; production quota,2042
0021_unrelated_q103_Employee_Wellness_Newsletter.log,log,text/log,False,,Public,Employee Wellness Newsletter,FCT-2026-BB8667,hydration tips; yoga session; ergonomic chair; step challenge,1424
0022_related_q013_Government_Operations_Disruption_Report.tsv,tsv,text/tab-separated-values,True,13,Secret,Government Operations Disruption Report,FCT-2026-A852BA,emergency operations; cyber attack; system failure; business continuity; operational disruption; government shutdown; service outage; disaster recovery,653
0023_related_q013_Government_Operations_Disruption_Report.svg,svg,image/svg+xml,True,13,Secret,Government Operations Disruption Report,FCT-2026-CD1B14,business continuity; government shutdown; emergency operations; cyber attack; system failure; service outage; disaster recovery; operational disruption,805
0024_related_q013_Government_Operations_Disruption_Report.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,13,Secret,Government Operations Disruption Report,FCT-2026-B95DD9,operational disruption; emergency operations; cyber attack; system failure; business continuity; disaster recovery; service outage; government shutdown,37952
0025_unrelated_q106_Library_Acquisition_List.md,md,text/markdown,False,,Public,Library Acquisition List,FCT-2026-B472A6,reading club; fiction collection; interlibrary loan; cataloguing,2019
0026_unrelated_q106_Library_Acquisition_List.mht,mht,multipart/related,False,,Public,Library Acquisition List,FCT-2026-7FFD0D,fiction collection; cataloguing; reading club; interlibrary loan,2075
0027_related_q012_Export_Continuity_Advisory.csv,csv,text/csv,True,12,Secret,Export Continuity Advisory,FCT-2026-4E4C54,export decline; export restriction; customs restriction; trade barrier; port closure; sanctions; trade embargo; shipping disruption,973
0028_unrelated_q102_IT_Helpdesk_Ticket_Summary.json,json,application/json,False,,Internal,IT Helpdesk Ticket Summary,FCT-2026-781E95,password reset; printer jam; laptop docking; VPN latency,1987
0029_related_q011_International_Commercial_Partnership_Sum.txt,txt,text/plain,True,11,Secret,International Commercial Partnership Summary,FCT-2026-C1901F,strategic supplier; commercial agreement; sovereign investment; investment agreement; technology transfer; strategic partnership; foreign investment; joint venture,2708
0030_unrelated_q108_Procurement_Stationery_Order.zip,zip,application/zip,False,,Internal,Procurement Stationery Order,FCT-2026-75B77B,sticky notes; toner cartridge; whiteboard markers; notebooks,1140
0031_unrelated_q108_Procurement_Stationery_Order.eml,eml,message/rfc822,False,,Internal,Procurement Stationery Order,FCT-2026-F726CF,sticky notes; whiteboard markers; notebooks; toner cartridge,2228
0032_unrelated_q109_Weather_Outlook_for_Field_Picnic.pdf,pdf,application/pdf,False,,Public,Weather Outlook for Field Picnic,FCT-2026-6B2796,UV index; sunny intervals; picnic blankets; light breeze,4088
0033_related_q009_Labor_Market_Stability_Brief.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,True,9,Secret,Labor Market Stability Brief,FCT-2026-7798E2,workforce reduction; unemployment; recruitment freeze; employment crisis; Nitaqat; wage reduction; Saudization; mass layoff,30363
0034_unrelated_q101_Office_Cafeteria_Weekly_Menu.html,html,text/html,False,,Public,Office Cafeteria Weekly Menu,FCT-2026-85F94E,lunch special; vegetarian option; dessert bar; coffee station,2404
0035_unrelated_q107_Sports_Club_Training_Roster.rtf,rtf,application/rtf,False,,Public,Sports Club Training Roster,FCT-2026-CFA61D,football drills; coach notes; injury recovery; attendance sheet,1611
0036_related_q014_Strategic_Warehouse_and_Logistics_Reserv.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-5740C3,inventory reserve; warehouse; storage facility; fuel depot; logistics center; strategic reserve; supply depot; emergency stockpile,7189
0037_related_q010_Strategic_Resource_Outlook.xml,xml,text/xml,True,10,Secret,Strategic Resource Outlook,FCT-2026-B1C0C1,resource depletion; petroleum exports; commodity price; production quota; oil reserve; crude oil; natural gas; Brent,2112
0038_related_q007_Counter-Terrorism_Threat_Digest.log,log,text/log,True,7,Top Secret,Counter-Terrorism Threat Digest,FCT-2026-F6E668,suicide attack; attack plan; bomb; IED; Al-Qaeda; violent extremism; ISIS; terrorism,1900
0039_related_q015_Vital_National_Installation_Status_Sheet.tsv,tsv,text/tab-separated-values,True,15,Secret,Vital National Installation Status Sheet,FCT-2026-C044F3,substation; desalination plant; military base; airport; command center; oil refinery; government facility; telecom exchange,634
0040_related_q006_National_Reputation_Risk_Watchlist.svg,svg,image/svg+xml,True,6,Top Secret,National Reputation Risk Watchlist,FCT-2026-6A7A73,human rights violation; diplomatic crisis; corruption; international criticism; media exposure; scandal; money laundering; bribery,799
0041_unrelated_q102_IT_Helpdesk_Ticket_Summary.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,False,,Internal,IT Helpdesk Ticket Summary,FCT-2026-9CDEE7,laptop docking; printer jam; VPN latency; password reset,37748
0042_unrelated_q103_Employee_Wellness_Newsletter.md,md,text/markdown,False,,Public,Employee Wellness Newsletter,FCT-2026-FC7FD9,yoga session; hydration tips; step challenge; ergonomic chair,2028
0043_related_q010_Strategic_Resource_Outlook.mht,mht,multipart/related,True,10,Secret,Strategic Resource Outlook,FCT-2026-600013,petroleum exports; crude oil; resource depletion; mining; OPEC; production quota; oil reserve; commodity price,2684
0044_related_q006_National_Reputation_Risk_Watchlist.csv,csv,text/csv,True,6,Top Secret,National Reputation Risk Watchlist,FCT-2026-9B401C,corruption; human rights violation; media exposure; money laundering; bribery; diplomatic crisis; international criticism; censorship,971
0045_unrelated_q105_Marketing_Campaign_Retro.json,json,application/json,False,,Internal,Marketing Campaign Retro,FCT-2026-4096A6,brand awareness; social media post; newsletter open rate; click-through rate,2023
0046_unrelated_q110_Volunteer_Greening_Day_Plan.txt,txt,text/plain,False,,Public,Volunteer Greening Day Plan,FCT-2026-4CE132,community garden; irrigation hose; recycling bins; tree planting,1932
0047_unrelated_q106_Library_Acquisition_List.zip,zip,application/zip,False,,Public,Library Acquisition List,FCT-2026-786A96,reading club; cataloguing; interlibrary loan; fiction collection,1135
0048_related_q004_Cryptographic_Key_Custody_Log.eml,eml,message/rfc822,True,4,Top Secret,Cryptographic Key Custody Log,FCT-2026-EB6670,VPN key; cryptographic key; certificate authority; TLS certificate; HSM; RSA; AES; PKI,2832
0049_related_q013_Government_Operations_Disruption_Report.pdf,pdf,application/pdf,True,13,Secret,Government Operations Disruption Report,FCT-2026-4B9632,cyber attack; business continuity; disaster recovery; emergency operations; system failure; operational disruption; service outage; government shutdown,4379
0050_related_q014_Strategic_Warehouse_and_Logistics_Reserv.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-7CDC7D,logistics center; supply depot; fuel depot; strategic reserve; emergency stockpile; inventory reserve; storage facility; warehouse,30371
0051_related_q011_International_Commercial_Partnership_Sum.html,html,text/html,True,11,Secret,International Commercial Partnership Summary,FCT-2026-F9D285,joint venture; foreign investment; technology transfer; strategic supplier; strategic partnership; sovereign investment; commercial agreement; investment agreement,3211
0052_unrelated_q103_Employee_Wellness_Newsletter.rtf,rtf,application/rtf,False,,Public,Employee Wellness Newsletter,FCT-2026-33C2B5,yoga session; ergonomic chair; step challenge; hydration tips,1622
0053_unrelated_q110_Volunteer_Greening_Day_Plan.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,False,,Public,Volunteer Greening Day Plan,FCT-2026-111111,recycling bins; irrigation hose; community garden; tree planting,6850
0054_related_q013_Government_Operations_Disruption_Report.xml,xml,text/xml,True,13,Secret,Government Operations Disruption Report,FCT-2026-4D8DFC,business continuity; service outage; system failure; government shutdown; disaster recovery; emergency operations; operational disruption; cyber attack,2193
0055_related_q007_Counter-Terrorism_Threat_Digest.log,log,text/log,True,7,Top Secret,Counter-Terrorism Threat Digest,FCT-2026-CD1258,terrorism; extremist; Daesh; hostage; ISIS; VBIED; radicalization; IED,1894
0056_unrelated_q110_Volunteer_Greening_Day_Plan.tsv,tsv,text/tab-separated-values,False,,Public,Volunteer Greening Day Plan,FCT-2026-F4CFC0,recycling bins; irrigation hose; tree planting; community garden,527
0057_related_q015_Vital_National_Installation_Status_Sheet.svg,svg,image/svg+xml,True,15,Secret,Vital National Installation Status Sheet,FCT-2026-A2C437,power station; telecom exchange; command center; government facility; substation; oil refinery; seaport; military base,792
0058_related_q015_Vital_National_Installation_Status_Sheet.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,15,Secret,Vital National Installation Status Sheet,FCT-2026-5B5C41,government facility; oil refinery; substation; desalination plant; seaport; military base; telecom exchange; power station,37917
0059_related_q012_Export_Continuity_Advisory.md,md,text/markdown,True,12,Secret,Export Continuity Advisory,FCT-2026-C1F6A2,sanctions; export decline; port closure; export restriction; customs restriction; shipping disruption; trade embargo; trade barrier,2639
0060_related_q008_Diplomatic_Negotiation_Status_Memo.mht,mht,multipart/related,True,8,Secret,Diplomatic Negotiation Status Memo,FCT-2026-DCF748,strategic partnership; consulate; diplomatic note; MOU; foreign ministry; embassy; bilateral agreement; classified negotiation,2781
0061_related_q008_Diplomatic_Negotiation_Status_Memo.csv,csv,text/csv,True,8,Secret,Diplomatic Negotiation Status Memo,FCT-2026-FCF86D,classified negotiation; strategic partnership; diplomatic cable; treaty; embassy; MOU; foreign ministry; consulate,977
0062_related_q003_Emergency_Continuity_and_Engagement_Proc.json,json,application/json,True,3,Top Secret,Emergency Continuity and Engagement Procedures,FCT-2026-EB9F1E,rules of engagement; defense strategy; mobilization plan; war plan; battle plan; military doctrine; continuity of government; evacuation plan,2592
0063_unrelated_q106_Library_Acquisition_List.txt,txt,text/plain,False,,Public,Library Acquisition List,FCT-2026-4ADD86,cataloguing; reading club; fiction collection; interlibrary loan,1915
0064_unrelated_q110_Volunteer_Greening_Day_Plan.zip,zip,application/zip,False,,Public,Volunteer Greening Day Plan,FCT-2026-DFD666,community garden; tree planting; irrigation hose; recycling bins,1143
0065_unrelated_q106_Library_Acquisition_List.eml,eml,message/rfc822,False,,Public,Library Acquisition List,FCT-2026-DC332E,fiction collection; interlibrary loan; reading club; cataloguing,2241
0066_related_q002_Force_and_VIP_Movement_Coordination_Note.pdf,pdf,application/pdf,True,2,Top Secret,Force and VIP Movement Coordination Note,FCT-2026-B3F1F1,convoy; military exercise; deployment; troop movement; National Guard; mobilization; VIP movement; Royal Guard,4358
0067_unrelated_q102_IT_Helpdesk_Ticket_Summary.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,False,,Internal,IT Helpdesk Ticket Summary,FCT-2026-DA68BF,laptop docking; VPN latency; password reset; printer jam,30221
0068_unrelated_q106_Library_Acquisition_List.html,html,text/html,False,,Public,Library Acquisition List,FCT-2026-030BE8,fiction collection; interlibrary loan; reading club; cataloguing,2400
0069_unrelated_q104_Facilities_Maintenance_Schedule.rtf,rtf,application/rtf,False,,Internal,Facilities Maintenance Schedule,FCT-2026-A0E362,elevator inspection; parking lot paint; HVAC filter; lighting upgrade,1657
0070_unrelated_q103_Employee_Wellness_Newsletter.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,False,,Public,Employee Wellness Newsletter,FCT-2026-C36B4E,ergonomic chair; yoga session; hydration tips; step challenge,6847
0071_unrelated_q109_Weather_Outlook_for_Field_Picnic.xml,xml,text/xml,False,,Public,Weather Outlook for Field Picnic,FCT-2026-BAA853,UV index; picnic blankets; light breeze; sunny intervals,1708
0072_unrelated_q104_Facilities_Maintenance_Schedule.log,log,text/log,False,,Internal,Facilities Maintenance Schedule,FCT-2026-43042E,lighting upgrade; elevator inspection; HVAC filter; parking lot paint,1433
0073_related_q009_Labor_Market_Stability_Brief.tsv,tsv,text/tab-separated-values,True,9,Secret,Labor Market Stability Brief,FCT-2026-CF06B0,unemployment; employment crisis; Saudization; recruitment freeze; workforce reduction; Nitaqat; wage reduction; labor shortage,618
0074_related_q006_National_Reputation_Risk_Watchlist.svg,svg,image/svg+xml,True,6,Top Secret,National Reputation Risk Watchlist,FCT-2026-2ED3C1,corruption; diplomatic crisis; human rights violation; censorship; money laundering; scandal; sanctions; bribery,788
0075_related_q013_Government_Operations_Disruption_Report.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,13,Secret,Government Operations Disruption Report,FCT-2026-2456B3,system failure; operational disruption; cyber attack; emergency operations; service outage; disaster recovery; government shutdown; business continuity,37929
0076_related_q006_National_Reputation_Risk_Watchlist.md,md,text/markdown,True,6,Top Secret,National Reputation Risk Watchlist,FCT-2026-B71925,money laundering; media exposure; international criticism; sanctions; scandal; human rights violation; censorship; bribery,2675
0077_related_q011_International_Commercial_Partnership_Sum.mht,mht,multipart/related,True,11,Secret,International Commercial Partnership Summary,FCT-2026-A1A54E,strategic partnership; sovereign investment; technology transfer; foreign investment; investment agreement; joint venture; strategic supplier; commercial agreement,2965
0078_related_q015_Vital_National_Installation_Status_Sheet.csv,csv,text/csv,True,15,Secret,Vital National Installation Status Sheet,FCT-2026-25D336,airport; command center; seaport; substation; power station; desalination plant; oil refinery; military base,934
0079_unrelated_q104_Facilities_Maintenance_Schedule.json,json,application/json,False,,Internal,Facilities Maintenance Schedule,FCT-2026-FF5046,elevator inspection; parking lot paint; lighting upgrade; HVAC filter,2027
0080_unrelated_q110_Volunteer_Greening_Day_Plan.txt,txt,text/plain,False,,Public,Volunteer Greening Day Plan,FCT-2026-EDAF78,community garden; irrigation hose; recycling bins; tree planting,1949
0081_related_q001_Restricted_Defense_Asset_Inventory_Brief.zip,zip,application/zip,True,1,Top Secret,Restricted Defense Asset Inventory Brief,FCT-2026-CB1229,ballistic missile; Ministry of Defense; armory; UAV; artillery; fighter aircraft; drone; missile,1363
0082_unrelated_q108_Procurement_Stationery_Order.eml,eml,message/rfc822,False,,Internal,Procurement Stationery Order,FCT-2026-9F527D,sticky notes; whiteboard markers; notebooks; toner cartridge,2254
0083_related_q001_Restricted_Defense_Asset_Inventory_Brief.pdf,pdf,application/pdf,True,1,Top Secret,Restricted Defense Asset Inventory Brief,FCT-2026-86F8E6,UAV; Ministry of Defense; arsenal; armory; air defense; ballistic missile; weapons cache; missile,4336
0084_unrelated_q106_Library_Acquisition_List.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,False,,Public,Library Acquisition List,FCT-2026-57E529,reading club; fiction collection; interlibrary loan; cataloguing,30221
0085_related_q003_Emergency_Continuity_and_Engagement_Proc.html,html,text/html,True,3,Top Secret,Emergency Continuity and Engagement Procedures,FCT-2026-3E58E1,defense strategy; mobilization plan; battle plan; military doctrine; continuity of government; emergency response; contingency plan; rules of engagement,3169
0086_related_q011_International_Commercial_Partnership_Sum.rtf,rtf,application/rtf,True,11,Secret,International Commercial Partnership Summary,FCT-2026-E4D86B,strategic partnership; joint venture; strategic supplier; sovereign investment; investment agreement; foreign investment; commercial agreement; technology transfer,2374
0087_related_q014_Strategic_Warehouse_and_Logistics_Reserv.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-29270F,logistics center; inventory reserve; fuel depot; emergency stockpile; warehouse; storage facility; strategic reserve; supply depot,7192
0088_unrelated_q106_Library_Acquisition_List.xml,xml,text/xml,False,,Public,Library Acquisition List,FCT-2026-97C1A6,reading club; interlibrary loan; cataloguing; fiction collection,1715
0089_related_q004_Cryptographic_Key_Custody_Log.log,log,text/log,True,4,Top Secret,Cryptographic Key Custody Log,FCT-2026-1E22EC,PKI; secret key; cryptographic key; AES; private key; HSM; certificate authority; RSA,1911
0090_unrelated_q110_Volunteer_Greening_Day_Plan.tsv,tsv,text/tab-separated-values,False,,Public,Volunteer Greening Day Plan,FCT-2026-F1CDB5,community garden; recycling bins; irrigation hose; tree planting,526
0091_related_q004_Cryptographic_Key_Custody_Log.svg,svg,image/svg+xml,True,4,Top Secret,Cryptographic Key Custody Log,FCT-2026-C26B0A,cryptographic key; TLS certificate; VPN key; AES; key management; ECC; PKI; private key,760
0092_related_q003_Emergency_Continuity_and_Engagement_Proc.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,3,Top Secret,Emergency Continuity and Engagement Procedures,FCT-2026-9DBEB7,military doctrine; mobilization plan; defense strategy; emergency response; contingency plan; battle plan; evacuation plan; command structure,37960
0093_related_q010_Strategic_Resource_Outlook.md,md,text/markdown,True,10,Secret,Strategic Resource Outlook,FCT-2026-EADE25,petroleum exports; resource depletion; OPEC; mining; commodity price; Brent; oil reserve; crude oil,2584
0094_unrelated_q104_Facilities_Maintenance_Schedule.mht,mht,multipart/related,False,,Internal,Facilities Maintenance Schedule,FCT-2026-CA7CFD,lighting upgrade; elevator inspection; HVAC filter; parking lot paint,2110
0095_related_q009_Labor_Market_Stability_Brief.csv,csv,text/csv,True,9,Secret,Labor Market Stability Brief,FCT-2026-06108D,recruitment freeze; wage reduction; workforce reduction; Saudization; Nitaqat; employment crisis; mass layoff; unemployment,950
0096_related_q014_Strategic_Warehouse_and_Logistics_Reserv.json,json,application/json,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-DA62A0,supply depot; inventory reserve; logistics center; strategic reserve; warehouse; fuel depot; emergency stockpile; storage facility,2563
0097_unrelated_q106_Library_Acquisition_List.txt,txt,text/plain,False,,Public,Library Acquisition List,FCT-2026-B64FD1,interlibrary loan; cataloguing; fiction collection; reading club,1936
0098_related_q007_Counter-Terrorism_Threat_Digest.zip,zip,application/zip,True,7,Top Secret,Counter-Terrorism Threat Digest,FCT-2026-FE1E02,ISIS; radicalization; terrorism; terrorist; VBIED; violent extremism; Daesh; suicide attack,1356
0099_related_q015_Vital_National_Installation_Status_Sheet.eml,eml,message/rfc822,True,15,Secret,Vital National Installation Status Sheet,FCT-2026-BABF9C,oil refinery; government facility; substation; seaport; command center; desalination plant; power station; military base,2905
0100_related_q004_Cryptographic_Key_Custody_Log.pdf,pdf,application/pdf,True,4,Top Secret,Cryptographic Key Custody Log,FCT-2026-054F6A,TLS certificate; VPN key; private key; secret key; RSA; ECC; cryptographic key; PKI,4331
0101_unrelated_q105_Marketing_Campaign_Retro.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,False,,Internal,Marketing Campaign Retro,FCT-2026-51ADC6,brand awareness; click-through rate; social media post; newsletter open rate,30236
0102_related_q008_Diplomatic_Negotiation_Status_Memo.html,html,text/html,True,8,Secret,Diplomatic Negotiation Status Memo,FCT-2026-9BBDBF,treaty; consulate; diplomatic note; MOU; classified negotiation; diplomatic cable; strategic partnership; embassy,3016
0103_unrelated_q109_Weather_Outlook_for_Field_Picnic.rtf,rtf,application/rtf,False,,Public,Weather Outlook for Field Picnic,FCT-2026-56A9A1,sunny intervals; UV index; light breeze; picnic blankets,1625
0104_related_q014_Strategic_Warehouse_and_Logistics_Reserv.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-AADF71,warehouse; storage facility; logistics center; supply depot; fuel depot; emergency stockpile; strategic reserve; inventory reserve,7199
0105_related_q011_International_Commercial_Partnership_Sum.xml,xml,text/xml,True,11,Secret,International Commercial Partnership Summary,FCT-2026-6A8EEB,strategic partnership; sovereign investment; investment agreement; technology transfer; foreign investment; strategic supplier; joint venture; commercial agreement,2239
0106_related_q014_Strategic_Warehouse_and_Logistics_Reserv.log,log,text/log,True,14,Secret,Strategic Warehouse and Logistics Reserve Register,FCT-2026-A2CC70,emergency stockpile; inventory reserve; warehouse; storage facility; supply depot; fuel depot; strategic reserve; logistics center,1965
0107_related_q001_Restricted_Defense_Asset_Inventory_Brief.tsv,tsv,text/tab-separated-values,True,1,Top Secret,Restricted Defense Asset Inventory Brief,FCT-2026-A01520,Ministry of Defense; ballistic missile; armory; drone; Royal Saudi Air Force; military base; fighter aircraft; arsenal,632
0108_related_q012_Export_Continuity_Advisory.svg,svg,image/svg+xml,True,12,Secret,Export Continuity Advisory,FCT-2026-8C5A1A,trade barrier; trade embargo; shipping disruption; export decline; export restriction; sanctions; customs restriction; port closure,780
0109_related_q007_Counter-Terrorism_Threat_Digest.docx,docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,True,7,Top Secret,Counter-Terrorism Threat Digest,FCT-2026-688429,attack plan; extremist; violent extremism; ISIS; suicide attack; bomb; VBIED; IED,37935
0110_related_q004_Cryptographic_Key_Custody_Log.md,md,text/markdown,True,4,Top Secret,Cryptographic Key Custody Log,FCT-2026-4D28A9,secret key; key management; PKI; certificate authority; HSM; AES; root certificate; private key,2596
0111_related_q011_International_Commercial_Partnership_Sum.mht,mht,multipart/related,True,11,Secret,International Commercial Partnership Summary,FCT-2026-1CC993,sovereign investment; technology transfer; strategic supplier; investment agreement; strategic partnership; commercial agreement; joint venture; foreign investment,2964
0112_unrelated_q105_Marketing_Campaign_Retro.csv,csv,text/csv,False,,Internal,Marketing Campaign Retro,FCT-2026-4ADA26,brand awareness; click-through rate; social media post; newsletter open rate,723
0113_unrelated_q102_IT_Helpdesk_Ticket_Summary.json,json,application/json,False,,Internal,IT Helpdesk Ticket Summary,FCT-2026-756F34,password reset; laptop docking; VPN latency; printer jam,1981
0114_unrelated_q109_Weather_Outlook_for_Field_Picnic.txt,txt,text/plain,False,,Public,Weather Outlook for Field Picnic,FCT-2026-D8F7C0,UV index; picnic blankets; light breeze; sunny intervals,1936
0115_related_q009_Labor_Market_Stability_Brief.zip,zip,application/zip,True,9,Secret,Labor Market Stability Brief,FCT-2026-9B23A6,workforce reduction; mass layoff; employment crisis; Nitaqat; recruitment freeze; wage reduction; unemployment; Saudization,1377
0116_related_q001_Restricted_Defense_Asset_Inventory_Brief.eml,eml,message/rfc822,True,1,Top Secret,Restricted Defense Asset Inventory Brief,FCT-2026-4B5163,ammunition depot; artillery; armory; drone; military base; Royal Saudi Air Force; tank; fighter aircraft,2827
0117_unrelated_q105_Marketing_Campaign_Retro.pdf,pdf,application/pdf,False,,Internal,Marketing Campaign Retro,FCT-2026-170B18,newsletter open rate; social media post; click-through rate; brand awareness,4097
0118_unrelated_q101_Office_Cafeteria_Weekly_Menu.pptx,pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation,False,,Public,Office Cafeteria Weekly Menu,FCT-2026-1DC65A,coffee station; lunch special; dessert bar; vegetarian option,30221
0119_unrelated_q106_Library_Acquisition_List.html,html,text/html,False,,Public,Library Acquisition List,FCT-2026-DABC91,fiction collection; reading club; interlibrary loan; cataloguing,2358
0120_unrelated_q106_Library_Acquisition_List.rtf,rtf,application/rtf,False,,Public,Library Acquisition List,FCT-2026-8AC133,reading club; interlibrary loan; fiction collection; cataloguing,1632
0121_related_q009_Labor_Market_Stability_Brief.xlsx,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,True,9,Secret,Labor Market Stability Brief,FCT-2026-455A79,mass layoff; Saudization; labor shortage; wage reduction; workforce reduction; employment crisis; Nitaqat; recruitment freeze,7182
0122_unrelated_q104_Facilities_Maintenance_Schedule.xml,xml,text/xml,False,,Internal,Facilities Maintenance Schedule,FCT-2026-E73924,parking lot paint; lighting upgrade; HVAC filter; elevator inspection,1742
